one,other,angle
39,37,80.708249603037
39,38,8.494518878547256
40,39,88.83726718482002
40,41,111.88438350424214
40,42,1.8568512293821997
40,113,68.2811666727917
40,115,90.48253973191656
41,35,102.05238970260828
41,36,11.037465448649595
41,37,78.57009970802015
41,40,111.88438350424214
41,42,66.25876545001921
41,113,0.1655513613026907
42,40,1.8568512293821997
42,41,66.25876545001921
42,43,102.89461880784752
42,44,0.8376669232710019
42,111,88.57536639012267
42,113,113.57568438262224
43,33,90.70681677897413
43,34,0.3186564736107068
43,35,88.79422604015129
43,42,102.89461880784752
43,44,77.94304787176642
43,111,11.469985222116199
44,42,0.8376669232710019
44,43,77.94304787176642
44,109,93.3842811085186
44,45,95.48655858934357
44,46,6.7463186162770645
44,111,90.58696693945251
45,31,87.63790790361618
45,32,0.25870153309409705
45,33,95.86357675994681
45,44,95.48655858934357
45,46,91.259759999019
45,109,8.870839748080453
46,105,85.000705047796
46,44,6.7463186162770645
46,109,79.86940031483836
46,45,91.259759999019
46,47,90.95096530449966
46,48,0.4920957819394877
47,31,90.1513667928674
47,105,4.048329807806353
47,46,90.95096530449966
47,48,89.54112960757557
47,29,90.43226629207506
47,30,0.3348125095019985
48,103,89.0455112517662
48,105,94.50720005809973
48,46,0.4920957819394877
48,47,89.54112960757557
48,49,90.86085368430565
48,50,0.7356069664769979
49,103,0.09364086327953274
49,48,90.86085368430565
49,50,88.40353973659357
49,28,90.44720525146023
49,29,89.16575041604624
50,101,89.60440277564864
50,103,91.69009534093976
50,48,0.7356069664769979
50,49,88.40353973659357
50,51,90.20450490263828
50,52,0.5478858192239154
51,101,0.19109516642678973
51,50,90.20450490263828
51,52,90.34338046920912
51,26,89.16514338042731
51,27,0.8628095975791028
51,28,90.9447501093082
52,101,89.84771186532198
52,50,0.5478858192239154
52,51,90.34338046920912
52,53,90.5042178196261
52,54,0.08563756593921877
53,52,90.5042178196261
53,54,89.5814129763089
53,25,89.95697996678824
53,26,89.98725833073759
54,95,87.12637326112967
54,52,0.08563756593921877
54,53,89.5814129763089
54,55,92.65527810538454
54,56,0.6163686174954901
55,95,0.21835526550860204
55,54,92.65527810538454
55,23,94.35953166893681
55,56,87.96108990949789
55,25,87.80632895153
55,24,0.05149865677843378
56,95,92.25725874985895
56,97,87.93700288238216
56,54,0.6163686174954901
56,55,87.96108990949789
56,57,91.91547029505251
56,58,0.10136313866908184
57,97,0.1475363238290422
57,21,92.66549285994341
57,22,0.3806100211852231
57,23,85.76390812654377
57,56,91.91547029505251
57,58,87.98316794543787
58,97,92.16435889253964
58,99,87.68938905158156
58,56,0.10136313866908184
58,57,87.98316794543787
58,59,91.73413644733334
58,60,0.3624948219777179
59,99,0.5764768803953124
59,19,92.80995763479663
59,20,0.7312193304838289
59,21,87.6172027472998
59,58,91.73413644733334
59,60,87.90336934473011
60,99,92.67310517546684
60,74,87.81743563347435
60,58,0.3624948219777179
60,59,87.90336934473011
60,61,92.03420959416714
60,62,0.002037418961794773
61,74,0.14835745033208644
61,17,91.69844461273796
61,18,1.06208880321302
61,19,87.25246342633325
61,60,92.03420959416714
61,62,87.96398698237542
62,63,92.84197541140131
62,64,0.0012097186250871715
62,72,88.2149710424025
62,74,92.18436780472162
62,60,0.002037418961794773
62,61,87.96398698237542
63,64,87.15862302614056
63,72,1.0569468245380065
63,15,93.44900287221223
63,16,0.7266531533656823
63,17,87.49559299351685
63,62,92.84197541140131
64,63,87.15862302614056
64,65,91.69768236495254
64,66,0.006068351075081556
64,70,88.58152543487508
64,72,91.78443053649126
64,62,0.0012097186250871715
65,64,91.69768236495254
65,66,88.30825727271845
65,70,0.2792092027477669
65,13,94.22532858234119
65,14,0.4095178650397894
65,15,87.69469173673335
66,64,0.006068351075081556
66,65,88.30825727271845
66,67,84.91805696835546
66,68,95.55082348054256
66,70,91.41253494673279
67,12,0.013638327451607193
67,66,84.91805696835546
67,68,0.4688812262578108
67,13,92.54835717658644
68,81,0.7028166772040733
68,66,95.55082348054256
68,67,0.4688812262578108
68,69,84.79108386874239
69,68,84.79108386874239
69,70,88.24555770400202
69,71,0.5173892602639025
69,79,91.80446663978823
69,81,94.50610014029213
70,64,88.58152543487508
70,65,0.2792092027477669
70,66,91.41253494673279
70,69,88.24555770400202
70,71,91.23705442799208
70,79,0.050034604400790564
71,69,0.5173892602639025
71,70,91.23705442799208
71,72,88.3969896006504
71,73,0.3353211426120647
71,77,91.74653971341608
71,79,88.71292124938145
72,63,1.0569468245380065
72,64,91.78443053649126
72,71,88.3969896006504
72,73,91.9383299153123
72,77,0.1435331288214096
72,62,88.2149710424025
73,71,0.3353211426120647
73,72,91.9383299153123
73,74,87.6623312375811
73,75,92.45816688051625
73,77,87.91814078978733
74,73,87.6623312375811
74,75,0.12050300475154425
74,60,87.81743563347435
74,61,0.14835745033208644
74,62,92.18436780472162
75,100,88.10581160455892
75,73,92.45816688051625
75,74,0.12050300475154425
75,76,91.8032714352325
75,88,0.6887683976791317
76,100,0.09092175643312146
76,75,91.8032714352325
76,77,87.82042089446409
76,78,0.2620835331322979
76,86,91.76631321413488
76,88,88.88549486048649
77,71,91.74653971341608
77,72,0.1435331288214096
77,73,87.91814078978733
77,76,87.82042089446409
77,78,91.91749763484043
77,86,0.4132694552303808
78,76,0.2620835331322979
78,77,91.91749763484043
78,79,87.6230414023628
78,80,0.17490446334087673
78,84,92.39618488278492
78,86,88.49576828753695
79,69,91.80446663978823
79,70,0.050034604400790564
79,71,88.71292124938145
79,78,87.6230414023628
79,80,92.55185945600418
79,84,0.01930317515164159
80,78,0.17490446334087673
80,79,92.55185945600418
80,81,81.13757376402657
80,82,99.19277941963772
80,84,87.4289142926968
81,80,81.13757376402657
81,82,0.3303576815287605
81,68,0.7028166772040733
81,69,94.50610014029213
82,459,6.025339204830246
82,80,99.19277941963772
82,81,0.3303576815287605
82,83,85.26831050149559
83,459,88.7063504938142
83,461,92.3270742029282
83,82,85.26831050149559
83,84,88.10999578634407
83,85,0.5025930649004806
84,461,0.4370723625312283
84,78,92.39618488278492
84,79,0.01930317515164159
84,80,87.4289142926968
84,83,88.10999578634407
84,85,92.39259634146423
85,461,87.1703336939055
85,83,0.5025930649004806
85,84,92.39259634146423
85,86,86.71545048821604
85,87,0.23196541439996995
86,76,91.76631321413488
86,77,0.4132694552303808
86,78,88.49576828753695
86,85,86.71545048821604
86,87,93.05258631421906
87,463,91.45343397995121
87,85,0.23196541439996995
87,86,93.05258631421906
87,88,86.2956056111702
87,89,0.12864318845002215
88,100,91.20542212751819
88,75,0.6887683976791317
88,76,88.88549486048649
88,463,2.250960832113171
88,87,86.2956056111702
88,89,93.8330342451425
89,463,88.4179261858093
89,87,0.12864318845002215
89,88,93.8330342451425
89,90,86.4840836254967
89,91,2.2564132860161963
90,98,91.45454307874544
90,99,0.0026117727083863947
90,100,88.4774600018536
90,89,86.4840836254967
90,91,95.77232957089404
91,89,2.2564132860161963
91,90,95.77232957089404
91,92,84.70567735437321
91,93,1.9302381375167037
92,96,91.43045036673769
92,97,0.3301555365077765
92,98,88.06744999600674
92,91,84.70567735437321
92,93,93.36408458915405
93,466,94.26549692757105
93,469,0.0762083972993736
93,91,1.9302381375167037
93,92,93.36408458915405
93,94,86.16706505678955
94,95,0.05559781186626255
94,96,89.03839998732596
94,466,0.43256386663670177
94,469,93.90912989525472
94,93,86.16706505678955
95,96,90.90603951087871
95,54,87.12637326112967
95,55,0.21835526550860204
95,56,92.25725874985895
95,94,0.05559781186626255
