street_id,street,distance_m,distance_km,tree,building,road,sky,along_park,inner_river_0,inner_area,inner_avenue_0,inner_avenue_1,inner_avenue_2,total,other,extra,city,inner_river_1,inner_river_2,inner_river_3,cos_simil,euclid_dist,cos_simil100,euclid_dist100,cos_simil250,euclid_dist250,cos_simil500,euclid_dist500,included,not_included,incl_prob,cluster,cluster_type,betweenness_centrality,east,south,west,north,dist_east,dist_west,dist_north,dist_south
20,21,1457,1.457,0,66,22,10,0,0,0,0,1,0,98,2,0,Kiba,0,1,0,0.5596690199695021,60.105462868749896,0.603949040360162,56.863344959648714,0.8204574557989499,40.3622626335289,0.894864489743278,32.1338841237056,4,46,0.08,1,scape_most_built,0.014426244512173862,0.19524118085943185,0.0,0.0,0.8047588191405681,0.2844664005121922,0.0,1.1725335994878079,0.0
21,22,1399,1.399,12,18,43,27,0,0,0,0,1,0,100,0,-1,Kiba,0,1,0,0.87369727484723,27.4833282797651,0.894016286444957,24.880514464134396,0.882888497057405,26.4596342548033,0.8644500702465681,28.9626080096716,4,46,0.08,3,scape_second_built,0.012438464048629486,0.19325857081688602,0.0,0.0,0.806741429183114,0.27036874057282356,0.0,1.1286312594271766,0.0
22,23,1399,1.399,11,45,29,12,0,0,0,0,1,0,97,3,0,Kiba,1,0,0,0.789039356186962,35.8143360495021,0.8241507833262349,32.283742038369695,0.955683673247927,16.504483002617,0.985781603762106,9.44793268142098,8,42,0.16,2,scape_road_sky,0.00750586884760296,0.16676987312310845,0.0,0.0,0.8332301268768916,0.23331105249922873,0.0,1.1656889475007712,0.0
23,24,1339,1.339,4,38,45,11,0,0,0,0,1,0,98,2,0,Kiba,1,0,0,0.835780629027403,33.216461782275,0.8477942477638191,31.8847926134074,0.959737947473166,17.257651364315,0.981510886124376,11.873773994637899,8,42,0.16,2,scape_road_sky,0.013489594109940242,0.16266240175901853,0.0,0.0,0.8373375982409814,0.2178049559553258,0.0,1.121195044044674,0.0
24,25,1339,1.339,19,23,41,8,0,0,0,0,1,0,91,9,0,Kiba,1,0,0,0.975152853975162,12.0,0.9739533202563108,11.8928549978548,0.972205743338246,12.6648315892346,0.9347382547153492,19.906753039309198,10,40,0.2,3,scape_second_built,0.011285152417250768,0.13599291017370327,0.0,0.0,0.8640070898262967,0.18209450672258867,0.0,1.1569054932774112,0.0
25,26,1211,1.211,7,33,43,9,0,0,0,0,1,0,92,8,0,Kiba,1,0,0,0.8778048937900709,27.264140062238003,0.8833029715077281,26.3711964082026,0.969628780777355,13.6893374267593,0.9777108630233492,11.8218331761606,10,40,0.2,3,scape_second_built,0.01139522640561288,0.11179807978199137,0.0,0.0,0.8882019202180086,0.13538747461599154,0.0,1.0756125253840085,0.0
26,27,1108,1.108,2,42,46,8,0,0,0,0,1,0,98,2,0,Kiba,1,0,0,0.8086992958790159,37.12142238654121,0.8187690275318129,36.0976453525711,0.950205873894362,20.395327596170198,0.978989260012919,13.959349266805502,10,40,0.2,2,scape_road_sky,0.011018349571961652,0.047090498570659695,0.0,0.0,0.9529095014293404,0.05217627241629095,0.0,1.0558237275837092,0.0
27,28,1108,1.108,13,29,48,6,0,0,0,0,1,0,96,4,0,Kiba,1,0,0,0.932246211047062,20.992061991778396,0.9290004501150452,21.5462293684997,0.975741469339314,12.9547879416162,0.959738991962358,16.300128870148,10,40,0.2,3,scape_second_built,,0.014097238689428453,0.0,0.0,0.9859027613105716,0.015619740467886728,0.0,1.0923802595321135,0.0
28,29,1108,1.108,3,47,40,10,0,0,0,0,0,1,100,0,-1,Kiba,1,0,0,0.7733134395654191,40.0915618719617,0.79532870713017,38.0136817474972,0.945897530382476,20.9515963056542,0.984803019548695,12.239986850748998,7,43,0.14,2,scape_road_sky,0.008716793282872027,0.0020075562235142407,0.0,0.0,0.9979924437764855,0.002224372295653779,0.0,1.105775627704346,0.0
29,30,1161,1.161,2,46,39,11,0,0,0,0,0,1,98,2,0,Kiba,1,0,0,0.767878515704982,39.924929555354296,0.7905142446423431,37.754999668917996,0.9421044447894592,20.9174763374201,0.983245125829518,11.9923841710691,6,44,0.12,2,scape_road_sky,0.008739607831776044,0.0,0.0,0.04670513430562972,0.9532948656943704,0.0,0.054224660928836106,1.106775339071164,0.0
30,31,1275,1.275,0,61,31,7,0,0,0,0,0,1,99,1,0,Kiba,1,0,0,0.642031920570525,53.66563145999501,0.674531175292577,51.10225043968221,0.876723232401693,33.6723407355688,0.940030409560178,25.0058833313969,6,44,0.12,1,scape_most_built,0.00803910019354725,0.0,0.0,0.07812640312572572,0.9218735968742744,0.0,0.09961116398530029,1.1753888360146998,0.0
31,32,1275,1.275,2,47,41,9,0,0,0,0,0,1,99,1,0,Kiba,1,0,0,0.771170556809648,40.513372277969296,0.790541436474706,38.681261613344496,0.9432057558331322,21.635901758372803,0.98271576634507,13.100864960829599,6,44,0.12,2,scape_road_sky,,0.0,0.0,0.10482488960576067,0.8951751103942394,0.0,0.13365173424734483,1.141348265752655,0.0
32,33,1361,1.361,0,49,36,14,0,0,0,0,0,1,99,1,0,Kiba,1,0,0,0.720490794138456,44.226688774992,0.7510215854913579,41.53360085521121,0.918169862989134,24.933585251010104,0.970369591567804,15.745144832576699,6,44,0.12,2,scape_road_sky,0.0052403688009144975,0.0,0.0,0.12386269347855385,0.8761373065214462,0.0,0.16857712582431178,1.1924228741756882,0.0
33,34,1361,1.361,0,47,42,10,0,0,0,0,0,1,99,1,0,Kiba,1,0,0,0.75884594558745,41.95235392680609,0.7780282511012,40.172627496841706,0.9341728605601308,23.4453337248457,0.97703743270408,15.0067282740484,3,47,0.06,2,scape_road_sky,,0.0,0.0,0.1500148700297428,0.8499851299702571,0.0,0.20417023811047993,1.1568297618895198,0.0
34,35,1432,1.432,9,37,34,16,0,0,0,0,0,1,96,4,0,Kiba,1,0,0,0.8384159915301719,30.6267856622271,0.867716871057744,27.2367398930195,0.968879111428256,13.441862723201305,0.989800327976786,8.18076832664275,3,47,0.06,2,scape_road_sky,0.007794048538124912,0.0,0.0,0.16628030127561422,0.8337196987243859,0.0,0.23811339142667956,1.1938866085733206,0.0
35,36,1432,1.432,0,46,41,11,0,0,0,0,0,1,98,2,0,Kiba,1,0,0,0.7597336143884309,41.2391399845664,0.780027418637775,39.3222583278224,0.9343597874800648,22.7558021307148,0.97753407112433,14.187818760592899,3,47,0.06,2,scape_road_sky,0.011030417479935243,0.0,0.0,0.19802286027251464,0.8019771397274853,0.0,0.28356873591024095,1.148431264089759,0.0
36,37,1530,1.53,0,65,26,4,0,0,0,0,0,1,95,5,0,Kiba,1,0,0,0.5934428238403701,57.9194843439293,0.627006501989438,55.34835137562821,0.841448219010583,38.3252727402199,0.909801103437072,30.238570142458,3,47,0.06,1,scape_most_built,0.008012208854466659,0.0,0.0,0.21839628452736887,0.7816037154726312,0.0,0.3341463153268744,1.1958536846731258,0.0
37,38,1530,1.53,4,48,37,11,0,0,0,0,0,1,100,0,0,Kiba,1,0,0,0.762832690788102,40.5215991787096,0.789667936170323,38.0189426470542,0.943541305729527,20.869614666460198,0.9847056787814408,11.761817675409901,3,47,0.06,2,scape_road_sky,0.002955282272858995,0.0,0.0,0.2432491384204183,0.7567508615795816,0.0,0.37217118178324,1.15782881821676,0.0
38,39,1595,1.595,0,49,38,10,0,0,0,0,0,1,97,3,0,Kiba,1,0,0,0.735387218474902,43.32820482472511,0.758732669891831,41.1951453450525,0.925969495814777,24.106269825461602,0.9746229981206752,15.0292653369367,3,47,0.06,2,scape_road_sky,0.007121067332251488,0.0,0.0,0.2510879766745026,0.7489120233254974,0.0,0.40048532279583166,1.1945146772041684,0.0
39,40,1481,1.481,0,48,42,9,0,0,0,0,0,1,99,1,0,Kiba,1,0,0,0.7550220564172729,42.5910788780937,0.773672002870255,40.8783561313319,0.933024627177527,23.9546765916855,0.9764908687636992,15.500929538838902,3,47,0.06,2,scape_road_sky,0.011018209731431873,0.0,0.0,0.2698106213427526,0.7301893786572475,0.0,0.3995895302086166,1.0814104697913838,0.0
40,41,1385,1.385,1,41,43,15,0,0,0,0,0,1,100,0,-2,Kiba,1,0,0,0.787903845097457,38.1837661840736,0.808728897820748,36.1364082332486,0.939498680417601,21.2864333531468,0.974806479431092,14.1682869476019,4,46,0.08,2,scape_road_sky,,0.0,0.0,0.2525610655929341,0.7474389344070659,0.0,0.3497970758462138,1.0352029241537863,0.0
41,42,1385,1.385,0,58,29,10,0,0,0,0,0,1,97,3,0,Kiba,1,0,0,0.64323893308522,51.6655913866602,0.6790428398987839,48.7959014672339,0.877077743457174,31.7485336315727,0.941425888371697,22.8998230013056,3,47,0.06,1,scape_most_built,0.008180224581296351,0.0,0.0,0.22599958267059986,0.7740004173294002,0.0,0.3130094219987808,1.0719905780012193,0.0
42,43,1302,1.3019999999999998,1,44,39,13,0,0,0,0,0,1,97,3,0,Kiba,1,0,0,0.767688838436758,39.420806688854,0.7908978963389571,37.1623465351692,0.938223079992478,21.0162716357918,0.979981133666342,12.3923817024959,4,46,0.08,2,scape_road_sky,0.021896489053823458,0.0,0.0,0.20239422693661424,0.7976057730633858,0.0,0.2635172834714717,1.0384827165285282,0.0
43,44,1302,1.3019999999999998,8,52,30,6,0,0,0,0,0,1,96,4,0,Kiba,1,0,0,0.7381587672556139,42.1347046190351,0.7672521394541558,39.4745487624621,0.9309491961122072,22.436531799359607,0.97196963550647,14.706420929921999,3,47,0.06,1,scape_most_built,0.019499094625951667,0.0,0.0,0.17441750453852894,0.8255824954614711,0.0,0.22709159090916464,1.0749084090908352,0.0
44,45,1243,1.243,1,46,39,12,0,0,0,0,0,1,98,2,0,Kiba,1,0,0,0.7590374196647081,40.734915408447,0.78262120878979,38.5050646019455,0.936391745700181,21.885369262479898,0.979943871515222,12.9864563040607,4,46,0.08,2,scape_road_sky,,0.0,0.0,0.16033022479550085,0.8396697752044993,0.0,0.19929046942080758,1.0437095305791926,0.0
45,46,1243,1.243,4,34,41,17,0,0,0,0,0,1,96,4,0,Kiba,1,0,0,0.832843306597135,31.947874212014,0.852470961844472,29.6755791855863,0.949993688495883,17.561263029283303,0.9721774199166292,13.2363852124031,6,44,0.12,3,scape_second_built,,0.0,0.0,0.13592759028671467,0.8640724097132852,0.0,0.16895799472638634,1.0740420052736137,0.0
46,47,1153,1.153,2,50,36,9,0,0,0,0,0,1,97,3,0,Kiba,1,0,0,0.737361105055512,42.90299134870049,0.762425142104446,40.613298314714605,0.930017849677825,23.2587486283141,0.9772268352540552,14.1236969865559,18,32,0.36,2,scape_road_sky,0.049490112821283516,0.0,0.0,0.11327443376635095,0.8867255662336491,0.0,0.13060542213260265,1.0223945778673973,0.0
47,48,1153,1.153,0,47,36,17,0,0,0,0,0,1,100,0,0,Kiba,1,0,0,0.7234212848631999,43.5813415733538,0.756678977441487,40.6428345468177,0.915969587334429,24.827363113783804,0.967313012952572,16.0211989741107,6,44,0.12,2,scape_road_sky,0.015693728068830827,0.0,0.0,0.08217173308539698,0.9178282669146032,0.0,0.09474400824746272,1.0582559917525374,0.0
48,49,1038,1.038,1,45,42,9,0,0,0,0,0,1,97,3,0,Kiba,1,0,0,0.7775857043382659,39.5727178748188,0.7938520851996891,37.971568311040286,0.9423517060984108,21.3534397171768,0.9806501771600392,13.204965893949002,20,30,0.4,2,scape_road_sky,0.014746630822253476,0.0,0.0,0.046525386964852464,0.9534746130351476,0.0,0.04829335166951686,0.9897066483304832,0.0
49,50,1038,1.038,0,70,27,1,0,0,0,0,0,1,98,2,0,Kiba,1,0,0,0.578216993818902,62.1664432525029,0.6104075187761709,59.78494793842339,0.8306613900665111,42.605810660528704,0.8994184016868829,34.762518072226804,7,43,0.14,1,scape_most_built,0.00851156517412895,0.0,0.0,0.011058788185085194,0.9889412118149148,0.0,0.011479022136118431,1.0265209778638815,0.0
50,51,988,0.988,1,48,39,12,0,0,0,0,0,1,100,0,-1,Kiba,1,0,0,0.7478894745258349,42.4028300942284,0.7732869525071729,40.092892138133394,0.93230091050181,23.2648898996066,0.977931161346102,14.30552506332,21,29,0.42,2,scape_road_sky,0.01718293117602811,0.007444842344893662,0.0,0.0,0.9925551576551064,0.007355504236754938,0.0,0.9806444957632451,0.0
51,52,988,0.988,10,30,48,9,0,0,0,0,1,0,97,3,0,Kiba,1,0,0,0.910410941165833,24.124676163629605,0.9116520584749108,23.9633052812003,0.9711639612489092,14.1157749358941,0.964889121822215,15.3031535598301,10,40,0.2,3,scape_second_built,0.01847636083252176,0.0205111867534931,0.0,0.0,0.9794888132465068,0.02026505251245118,0.0,0.9677349474875487,0.0
52,53,988,0.988,10,32,45,8,1,0,0,0,1,0,95,5,0,Kiba,1,0,0,0.904902094596688,24.358434541926798,0.908325597497816,23.8042013098528,0.9793065022218792,11.636062872968399,0.9774145884305993,12.03208727779,35,15,0.7,3,scape_second_built,,0.05756996726242295,0.0,0.0,0.9424300327375772,0.05687912765527388,0.0,0.9311208723447263,0.0
53,54,1093,1.093,0,68,26,2,0,0,0,0,1,0,96,4,0,Kiba,1,0,0,0.580420182346174,60.5475020128824,0.613163058236968,58.088208786293286,0.8318722742487049,41.0153032664738,0.9008501237143508,33.1138184209282,10,40,0.2,1,scape_most_built,0.0032726816957035078,0.08414927907958952,0.0,0.0,0.9158507209204104,0.09197516203399135,0.0,1.0010248379660085,0.0
54,55,1093,1.093,3,36,43,14,1,0,0,0,1,0,96,4,0,Kiba,1,0,0,0.828793116645804,33.0151480384384,0.843908243644393,31.2832223404176,0.952193408205066,17.763468589398006,0.976307028026716,12.569880408783698,35,15,0.7,2,scape_road_sky,0.01989227891587901,0.13160866443063493,0.0,0.0,0.8683913355693651,0.14384827022268398,0.0,0.949151729777316,0.0
55,56,1226,1.226,10,40,38,10,0,0,0,0,1,0,98,2,0,Kiba,1,0,0,0.8529046379468709,30.2544762528346,0.8731118433806639,27.8826110685495,0.982156331712333,10.8876451230985,0.999083097688521,2.60804399716037,10,40,0.2,2,scape_road_sky,0.014406727033863968,0.15925746513303676,0.0,0.0,0.8407425348669632,0.19524965225310306,0.0,1.0307503477468969,0.0
56,57,1226,1.226,1,44,42,12,0,0,0,0,1,0,99,1,0,Kiba,1,0,0,0.777934867927874,39.403891516786295,0.797786641298758,37.4838631947135,0.941458553038626,21.3500943935207,0.979971095848254,13.2340604135536,26,24,0.52,2,scape_road_sky,0.021326859849780385,0.1888074580716756,0.0,0.0,0.8111925419283244,0.23147794359587429,0.0,0.9945220564041256,0.0
57,58,1285,1.285,0,53,32,13,0,0,0,0,1,0,98,2,0,Kiba,1,0,0,0.682210232938327,47.54646849837189,0.7169759982264879,44.6300347299887,0.89958649830589,27.7920484884377,0.958717629976754,18.592026031411,8,42,0.16,1,scape_most_built,0.010172583932323252,0.19221239469765736,0.0,0.0,0.8077876053023426,0.24699292718648969,0.0,1.0380070728135102,0.0
