angle,one,other
0.5061055552910187,53,36
0.9887184358994899,53,40
0.98880293140934,53,41
0.9997273981835367,53,52
0.999925188507986,53,54
0.5048074546518534,53,55
0.9998021911299371,54,52
0.999925188507986,54,53
0.5048822573118825,54,55
0.5005912541007829,54,59
0.9975609205687241,54,60
0.9980292720493856,54,61
0.9370842349309143,55,170
0.505080054700543,55,52
0.5048074546518534,55,53
0.5048822573118825,55,54
0.9950971361695632,55,56
0.9940906701115283,55,57
0.5111197155770983,56,39
0.5111861609202111,56,40
0.9321813767123868,56,170
0.9950971361695632,56,55
0.9891878190556275,56,57
0.5282728269242836,57,168
0.9429935573183515,57,170
0.9940906701115283,57,55
0.9891878190556275,57,56
0.9954909644226858,57,58
0.9897996630668838,57,59
0.5237637982285877,58,168
0.985930413072555,58,76
0.9748409162959261,58,77
0.9954909644226858,58,57
0.9943086968063404,58,59
0.5180724958558549,59,168
0.5005912541007829,59,54
0.9897996630668838,59,57
0.9943086968063404,59,58
0.5018478249453435,59,60
0.5025619797362524,59,61
0.9922562565455847,60,74
0.9981478292168039,60,75
0.5102261095370773,60,76
0.9975609205687241,60,54
0.5018478249453435,60,59
0.9955901931317952,60,61
0.5041600494409021,61,63
0.9980877276949506,61,51
0.9980292720493856,61,54
0.5025619797362524,61,59
0.9955901931317952,61,60
0.9960572128480366,61,62
0.5002172630744078,62,63
0.9976602662835925,62,72
0.9954444568514156,62,73
0.9927232689765457,62,74
0.9979694843714166,62,51
0.9960572128480366,62,61
0.9965969864822526,63,64
0.5073688915602945,63,65
0.5022566186719879,63,48
0.5022477771361487,63,51
0.5041600494409021,63,61
0.5002172630744078,63,62
0.9965969864822526,64,63
0.5039658794032882,64,65
0.5031337401955108,64,68
0.999003326206267,64,69
0.9847578588343257,64,70
0.5011463934899769,64,48
0.5073688915602945,65,63
0.5039658794032882,65,64
0.5147181357584163,65,66
0.5195680007491782,65,45
0.9948877270827975,65,48
0.5147181357584163,66,65
0.9926236115484461,66,67
0.5076185161200208,66,68
0.9951501340932645,66,45
0.9926236115484461,67,66
0.5149949039758982,67,68
0.9878221690823618,67,88
0.9897157113190389,67,89
0.5031337401955108,68,64
0.5076185161200208,68,66
0.5149949039758982,68,67
0.5041304096502848,68,69
0.5183758813445786,68,70
0.999003326206267,69,64
0.5041304096502848,69,68
0.9857545278379659,69,70
0.5050870870617998,69,87
0.9930525094454941,69,88
0.9847578588343257,70,64
0.5183758813445786,70,68
0.9857545278379659,70,69
0.9942905364794078,70,71
0.5160882227771412,70,72
0.9942905364794078,71,70
0.521797686149289,71,72
0.5212047252995632,71,85
0.9767146141717127,71,86
0.5250420221432784,71,87
0.5160882227771412,72,70
0.521797686149289,72,71
0.997784149917199,72,73
0.9950629614046668,72,74
0.9976602662835925,72,62
0.997784149917199,73,72
0.9972788083978896,73,74
0.9959981638104936,73,83
0.999228269239512,73,84
0.9983770130839673,73,85
0.9954444568514156,73,62
0.9950629614046668,74,72
0.9972788083978896,74,73
0.9904041371582426,74,75
0.5024823855217986,74,76
0.9922562565455847,74,60
0.9927232689765457,74,62
0.9904041371582426,75,74
0.5120782464010607,75,76
