one,other,angle
80,97,88.08388208325117
80,98,0.22675045976397945
80,164,102.56055523950695
80,166,77.338841321923
80,79,20.421753020518935
80,81,88.35884401249346
81,166,14.302314762963038
81,79,71.21940298690335
81,80,88.35884401249346
81,82,89.9953795925977
81,83,1.145755870736432
82,75,0.342233019507834
82,78,90.15048312526764
82,81,89.9953795925977
82,83,91.15037583065944
83,73,103.39407908052523
83,81,1.145755870736432
83,82,91.15037583065944
83,84,83.43151941994283
83,85,27.588509898648265
84,95,0.5626885977790391
84,97,101.27150989405978
84,73,6.825598593121753
84,83,83.43151941994283
84,85,68.97997069980818
85,71,85.66661873230817
85,73,104.19443081464864
85,83,27.588509898648265
85,84,68.97997069980818
85,86,93.82818190348965
85,87,0.4139056376178679
86,96,90.43128286413841
86,71,0.5052003836335279
86,85,93.82818190348965
86,87,85.75791304632536
86,92,0.09233602473229906
87,69,85.47418744076859
87,71,94.74728633016157
87,85,0.4139056376178679
87,86,85.75791304632536
87,88,0.2668205602671204
88,67,86.68352696598707
88,69,94.7926310679908
88,87,0.2668205602671204
88,89,93.54991287154728
89,88,93.54991287154728
89,90,9.650431540939994
89,91,90.80402392213357
89,67,0.23344471990444746
90,116,81.34980212455908
90,117,2.336350545972929
90,89,9.650431540939994
90,91,98.84640756286974
91,89,90.80402392213357
91,90,98.84640756286974
91,92,90.24730190570949
91,93,0.4682679303115384
92,96,89.66105041342941
92,91,90.24730190570949
92,93,90.22096319249424
92,86,0.09233602473229906
93,95,106.31586277924784
93,99,29.239972723026877
93,91,0.4682679303115384
93,92,90.22096319249424
93,94,73.34141126260991
94,95,0.3427269988126573
94,99,77.41861608015316
94,106,73.4858636031773
94,108,76.70827503543279
94,109,1.2437088624080497
94,110,104.13223114621108
94,93,73.34141126260991
95,96,106.1978763849273
95,97,78.16580197798774
95,99,102.92410990384634
95,84,0.5626885977790391
95,93,106.31586277924784
95,94,0.3427269988126573
96,95,106.1978763849273
96,92,89.66105041342941
96,86,90.43128286413841
97,95,78.16580197798774
97,98,92.14286757463749
97,164,10.644437537375783
97,80,88.08388208325117
97,84,101.27150989405978
98,97,92.14286757463749
98,162,99.21258200465489
98,99,86.76722054407955
98,100,0.3810947039363308
98,164,77.2126951260976
98,80,0.22675045976397945
99,95,102.92410990384634
99,98,86.76722054407955
99,162,5.9798029787573705
99,100,92.8516853190484
99,93,29.239972723026877
99,94,77.41861608015316
100,98,0.3810947039363308
100,162,81.16851215847821
100,99,92.8516853190484
100,101,86.0271067136523
100,102,0.6339401530439419
100,157,93.47304688219593
101,100,86.0271067136523
101,102,94.60683256040086
101,107,86.07962453323782
101,108,0.4108686495796728
101,157,0.4998473328740399
102,100,0.6339401530439419
102,101,94.60683256040086
102,103,20.09279407742601
102,104,115.61296816854214
102,147,64.48258415059189
102,155,95.1758738536438
102,157,85.89301386155235
103,102,20.09279407742601
103,104,84.47982588635304
103,137,87.03186029491766
103,138,0.5352050125340959
103,145,87.95951166387209
103,147,95.42462182300078
104,102,115.61296816854214
104,103,84.47982588635304
104,105,94.10418609236919
104,106,0.003351937517175713
104,147,0.09556130294240582
105,135,7.989385604736454
105,104,94.10418609236919
105,136,86.5402190270828
105,106,85.89888638517955
105,137,94.38412772636171
106,104,0.003351937517175713
106,105,85.89888638517955
106,109,107.75784491342657
106,110,2.381905450719185
106,94,73.4858636031773
107,108,93.50950855617823
107,101,86.07962453323782
108,107,93.50950855617823
108,101,0.4108686495796728
108,94,76.70827503543279
109,131,91.47465436837538
109,132,0.2044016716317609
109,136,79.8030496746685
109,106,107.75784491342657
109,110,74.6240603534694
109,94,1.2437088624080497
110,106,2.381905450719185
110,109,74.6240603534694
110,111,103.58653717597514
110,112,2.024474382888383
110,94,104.13223114621108
111,112,74.38898850025845
111,130,0.6642671442972726
111,131,90.31474810233216
111,110,103.58653717597514
112,111,74.38898850025845
112,113,103.49339307815006
112,114,0.25811444919701443
112,110,2.024474382888383
113,112,103.49339307815006
113,114,76.2484942879257
113,124,92.64192203727168
113,125,0.16667873228373511
114,112,0.25811444919701443
114,113,76.2484942879257
114,115,102.20654970358288
114,116,0.5158274366769463
115,122,2.2863878725268845
115,114,102.20654970358288
115,123,93.23583648261891
115,116,77.27762431262794
116,114,0.5158274366769463
116,90,81.34980212455908
116,115,77.27762431262794
116,117,100.98654828957609
117,90,2.336350545972929
117,123,88.49999091536358
117,116,100.98654828957609
117,118,0.29219661348535314
118,119,79.8560617749302
118,123,91.79220213901695
118,117,0.29219661348535314
119,120,104.07227575667214
119,128,15.035564860803154
119,118,79.8560617749302
120,119,104.07227575667214
120,128,90.963289057811
120,121,0.5988615161193831
120,126,89.41314620376036
121,120,0.5988615161193831
121,122,0.40054606895303335
121,124,92.98280844533824
121,126,91.18571461186998
122,123,84.47777571069493
122,121,0.40054606895303335
122,115,2.2863878725268845
122,124,86.6166461540156
123,122,84.47777571069493
123,115,93.23583648261891
123,117,88.49999091536358
123,118,91.79220213901695
124,113,92.64192203727168
124,121,92.98280844533824
124,122,86.6166461540156
124,125,87.19140132948836
125,127,0.9006755438120889
125,113,0.16667873228373511
125,124,87.19140132948836
125,126,88.64007561330799
126,127,90.45924927154272
126,120,89.41314620376036
126,121,91.18571461186998
126,125,88.64007561330799
127,128,89.16431546688914
127,129,90.68884418492873
127,125,0.9006755438120889
127,126,90.45924927154272
128,127,89.16431546688914
128,129,0.14684356587159986
128,119,15.035564860803154
128,120,90.963289057811
129,127,90.68884418492873
129,128,0.14684356587159986
129,130,89.69715638008851
129,133,2.778512394386316
130,111,0.6642671442972726
130,129,89.69715638008851
130,131,89.02098582773573
130,133,87.52433128167264
131,130,89.02098582773573
131,132,88.32094723151108
131,136,8.72229600609393
131,109,91.47465436837538
131,111,90.31474810233216
132,131,88.32094723151108
132,133,95.13373565909443
132,134,85.21520013736553
132,136,100.40134874243259
132,109,0.2044016716317609
133,129,2.778512394386316
133,130,87.52433128167264
133,132,95.13373565909443
133,134,0.34893671332404136
134,135,88.91305567969899
134,139,0.8426540020085972
134,132,85.21520013736553
134,133,0.34893671332404136
135,134,88.91305567969899
135,136,85.47039544066442
135,105,7.989385604736454
135,137,93.60525782708595
135,139,90.24429103449393
136,131,8.72229600609393
136,132,100.40134874243259
136,135,85.47039544066442
136,105,86.5402190270828
136,137,0.9243475542367658
136,109,79.8030496746685
137,135,93.60525782708595
137,136,0.9243475542367658
137,105,94.38412772636171
137,103,87.03186029491766
137,138,93.5033440314833
137,145,5.00862821984209
138,103,0.5352050125340959
138,137,93.5033440314833
138,139,82.64710710696073
138,140,103.67467372927406
138,145,91.50528402931648
139,134,0.8426540020085972
139,135,90.24429103449393
139,138,82.64710710696073
139,140,6.32178094928664
140,144,74.90172005368521
140,138,103.67467372927406
140,139,6.32178094928664
140,141,2.0939120688330393
141,144,107.19219152844737
141,140,2.0939120688330393
141,142,80.46583707481054
142,143,82.39693707517823
142,149,1.2665060715939054
142,141,80.46583707481054
143,142,82.39693707517823
143,144,89.94503432164953
143,145,0.13665045759285938
143,146,90.00342877076841
143,149,96.33655691532259
144,140,74.90172005368521
144,141,107.19219152844737
144,143,89.94503432164953
